config_id,seed,d,rho,s,alpha,dimension,status,empirical_kappa,exact_kappa_alpha,exact_absolute_error,exact_relative_error,rho_squared_d,approximation_signed_error,approximation_absolute_error
cfg_006f81767bcd904a,202608080,10,-0.8,1.0,0.75,4,success,0.5261172906129336,0.5297723292469353,0.0036550386340017393,0.006899263008314026,,,
cfg_006f81767bcd904a,202608081,10,-0.8,1.0,0.75,4,success,0.5212201535109163,0.5297723292469353,0.008552175736018963,0.01614311519096472,,,
cfg_006f81767bcd904a,202608082,10,-0.8,1.0,0.75,4,success,0.5341755649112739,0.5297723292469353,0.004403235664338645,0.008311562196156582,,,
cfg_006f81767bcd904a,202608083,10,-0.8,1.0,0.75,4,success,0.5314833892043768,0.5297723292469353,0.0017110599574414742,0.0032298024320630797,,,
cfg_006f81767bcd904a,202608084,10,-0.8,1.0,0.75,4,success,0.5318744541687954,0.5297723292469353,0.0021021249218601268,0.00396797795167647,,,
cfg_00dc1fcee6435fa8,202608080,5,0.0,1.0,0.25,4,success,0.20923005304196704,0.2173913043478261,0.008161251305859069,0.03754175600695171,,,
cfg_00dc1fcee6435fa8,202608081,5,0.0,1.0,0.25,4,success,0.23028721354347287,0.2173913043478261,0.01289590919564676,0.059321182299975087,,,
cfg_00dc1fcee6435fa8,202608082,5,0.0,1.0,0.25,4,success,0.2159372930312825,0.2173913043478261,0.001454011316543602,0.006688452056100568,,,
cfg_00dc1fcee6435fa8,202608083,5,0.0,1.0,0.25,4,success,0.2036499835538614,0.2173913043478261,0.0137413207939647,0.06321007565223762,,,
cfg_00dc1fcee6435fa8,202608084,5,0.0,1.0,0.25,4,success,0.2145393424317105,0.2173913043478261,0.002851961916115614,0.013119024814131823,,,
cfg_0104c18cec9636e9,202608080,20,0.8,1.0,0.75,4,success,1.589620482914634,1.5924128804587558,0.0027923975441217497,0.0017535637763224398,,,
cfg_0104c18cec9636e9,202608081,20,0.8,1.0,0.75,4,success,1.5906320778276892,1.5924128804587558,0.0017808026310666136,0.001118304588539616,,,
cfg_0104c18cec9636e9,202608082,20,0.8,1.0,0.75,4,success,1.5917468763207403,1.5924128804587558,0.0006660041380155413,0.0004182358395792887,,,
cfg_0104c18cec9636e9,202608083,20,0.8,1.0,0.75,4,success,1.587792094423424,1.5924128804587558,0.004620786035331781,0.002901751230497825,,,
cfg_0104c18cec9636e9,202608084,20,0.8,1.0,0.75,4,success,1.5830436231975913,1.5924128804587558,0.009369257261164554,0.005883685931041565,,,
cfg_01cbe91c7ba28b8b,202608080,10,0.4,4.0,0.25,4,success,0.9965909701297803,0.9829406986190092,0.013650271510771028,0.013887177049387711,,,
cfg_01cbe91c7ba28b8b,202608081,10,0.4,4.0,0.25,4,success,1.0060416704700224,0.9829406986190092,0.02310097185101312,0.023501897808757968,,,
cfg_01cbe91c7ba28b8b,202608082,10,0.4,4.0,0.25,4,success,0.9673681838690673,0.9829406986190092,0.015572514749941924,0.015842781534858266,,,
cfg_01cbe91c7ba28b8b,202608083,10,0.4,4.0,0.25,4,success,0.9395109907194733,0.9829406986190092,0.04342970789953593,0.04418344663167662,,,
cfg_01cbe91c7ba28b8b,202608084,10,0.4,4.0,0.25,4,success,0.9773440367150605,0.9829406986190092,0.0055966619039486964,0.005693794052694912,,,
cfg_0272300ee71b580e,202608080,10,0.8,1.0,0.25,4,success,5.1043199647698705,5.197841726618707,0.09352176184883643,0.017992422002751914,,,
cfg_0272300ee71b580e,202608081,10,0.8,1.0,0.25,4,success,5.246696793540257,5.197841726618707,0.04885506692154973,0.009399106300478076,,,
cfg_0272300ee71b580e,202608082,10,0.8,1.0,0.25,4,success,5.0143266442200405,5.197841726618707,0.18351508239866643,0.03530601585247699,,,
cfg_0272300ee71b580e,202608083,10,0.8,1.0,0.25,4,success,5.324116503533744,5.197841726618707,0.12627477691503675,0.02429369410545343,,,
cfg_0272300ee71b580e,202608084,10,0.8,1.0,0.25,4,success,5.1887544216582935,5.197841726618707,0.009087304960413434,0.0017482842761210613,,,
cfg_0291ce860bc59ba6,202608080,20,0.0,1.0,1.0,4,success,1.0,1.0,0.0,0.0,,,
cfg_0291ce860bc59ba6,202608081,20,0.0,1.0,1.0,4,success,1.0,1.0,0.0,0.0,,,
cfg_0291ce860bc59ba6,202608082,20,0.0,1.0,1.0,4,success,1.0,1.0,0.0,0.0,,,
cfg_0291ce860bc59ba6,202608083,20,0.0,1.0,1.0,4,success,1.0,1.0,0.0,0.0,,,
cfg_0291ce860bc59ba6,202608084,20,0.0,1.0,1.0,4,success,1.0,1.0,0.0,0.0,,,
cfg_02ceabcd8a7f8c0b,202608080,2,-0.8,4.0,0.0,4,success,0.5147255210731435,0.5245901639344265,0.009864642861282968,0.018804475454320648,1.2800000000000002,0.7554098360655738,0.7554098360655738
cfg_02ceabcd8a7f8c0b,202608081,2,-0.8,4.0,0.0,4,success,0.5064667437654828,0.5245901639344265,0.018123420168943638,0.03454776969704879,1.2800000000000002,0.7554098360655738,0.7554098360655738
cfg_02ceabcd8a7f8c0b,202608082,2,-0.8,4.0,0.0,4,success,0.5353693377362873,0.5245901639344265,0.010779173801860775,0.020547800059797092,1.2800000000000002,0.7554098360655738,0.7554098360655738
cfg_02ceabcd8a7f8c0b,202608083,2,-0.8,4.0,0.0,4,success,0.5004703095643309,0.5245901639344265,0.02411985437009556,0.04597847239299464,1.2800000000000002,0.7554098360655738,0.7554098360655738
cfg_02ceabcd8a7f8c0b,202608084,2,-0.8,4.0,0.0,4,success,0.49907469424184137,0.5245901639344265,0.025515469692585113,0.04863886410149035,1.2800000000000002,0.7554098360655738,0.7554098360655738
cfg_03da992e5e2c7b97,202608080,2,0.0,4.0,0.5,4,success,0.28042566446604583,0.2857142857142857,0.0052886212482398665,0.018510174368839533,,,
cfg_03da992e5e2c7b97,202608081,2,0.0,4.0,0.5,4,success,0.29066127657806834,0.2857142857142857,0.004946990863782641,0.017314468023239243,,,
cfg_03da992e5e2c7b97,202608082,2,0.0,4.0,0.5,4,success,0.28318589964485297,0.2857142857142857,0.002528386069432731,0.008849351243014558,,,
cfg_03da992e5e2c7b97,202608083,2,0.0,4.0,0.5,4,success,0.29722520472800146,0.2857142857142857,0.011510919013715759,0.04028821654800516,,,
cfg_03da992e5e2c7b97,202608084,2,0.0,4.0,0.5,4,success,0.2794872735497538,0.2857142857142857,0.00622701216453192,0.02179454257586172,,,
cfg_0449e9b6fec212fb,202608080,5,0.4,0.5,0.0,4,success,0.5707232818442889,0.5633802816901409,0.007343000154148016,0.013033825273612729,0.8000000000000002,0.23661971830985928,0.23661971830985928
cfg_0449e9b6fec212fb,202608081,5,0.4,0.5,0.0,4,success,0.5546062277359602,0.5633802816901409,0.008774053954180627,0.015573945768670612,0.8000000000000002,0.23661971830985928,0.23661971830985928
cfg_0449e9b6fec212fb,202608082,5,0.4,0.5,0.0,4,success,0.5586956285454667,0.5633802816901409,0.004684653144674145,0.008315259331796606,0.8000000000000002,0.23661971830985928,0.23661971830985928
cfg_0449e9b6fec212fb,202608083,5,0.4,0.5,0.0,4,success,0.578403683775192,0.5633802816901409,0.015023402085051152,0.026666538700965792,0.8000000000000002,0.23661971830985928,0.23661971830985928
cfg_0449e9b6fec212fb,202608084,5,0.4,0.5,0.0,4,success,0.554688690586339,0.5633802816901409,0.00869159110380191,0.015427574209248389,0.8000000000000002,0.23661971830985928,0.23661971830985928
cfg_0487ec75816fdb83,202608080,10,0.8,0.5,1.0,4,success,1.0,1.0,0.0,0.0,,,
cfg_0487ec75816fdb83,202608081,10,0.8,0.5,1.0,4,success,1.0,1.0,0.0,0.0,,,
cfg_0487ec75816fdb83,202608082,10,0.8,0.5,1.0,4,success,1.0,1.0,0.0,0.0,,,
cfg_0487ec75816fdb83,202608083,10,0.8,0.5,1.0,4,success,1.0,1.0,0.0,0.0,,,
cfg_0487ec75816fdb83,202608084,10,0.8,0.5,1.0,4,success,1.0,1.0,0.0,0.0,,,
cfg_04a66a54f3de24db,202608080,20,-0.8,0.5,0.0,4,success,10.590091867683736,10.847457627118647,0.25736575943491147,0.023725905947905895,12.800000000000002,1.9525423728813553,1.9525423728813553
cfg_04a66a54f3de24db,202608081,20,-0.8,0.5,0.0,4,success,11.224242059888292,10.847457627118647,0.3767844327696448,0.03473481489595162,12.800000000000002,1.9525423728813553,1.9525423728813553
cfg_04a66a54f3de24db,202608082,20,-0.8,0.5,0.0,4,success,11.10649373799524,10.847457627118647,0.2590361108765933,0.023879891471435936,12.800000000000002,1.9525423728813553,1.9525423728813553
cfg_04a66a54f3de24db,202608083,20,-0.8,0.5,0.0,4,success,10.639180552997232,10.847457627118647,0.2082770741214155,0.019200542770567985,12.800000000000002,1.9525423728813553,1.9525423728813553
cfg_04a66a54f3de24db,202608084,20,-0.8,0.5,0.0,4,success,10.384955355719438,10.847457627118647,0.4625022713992095,0.042636928144614616,12.800000000000002,1.9525423728813553,1.9525423728813553
cfg_04c215674a3b6853,202608080,10,0.4,0.5,0.75,4,success,1.2593065587122727,1.2644935462699627,0.0051869875576899815,0.0041020277034949666,,,
cfg_04c215674a3b6853,202608081,10,0.4,0.5,0.75,4,success,1.273219675783016,1.2644935462699627,0.008726129513053404,0.006900888928056594,,,
cfg_04c215674a3b6853,202608082,10,0.4,0.5,0.75,4,success,1.2624437611314865,1.2644935462699627,0.002049785138476201,0.0016210325031098126,,,
cfg_04c215674a3b6853,202608083,10,0.4,0.5,0.75,4,success,1.2673458660247998,1.2644935462699627,0.0028523197548371293,0.002255701314768256,,,
cfg_04c215674a3b6853,202608084,10,0.4,0.5,0.75,4,success,1.2601871029884877,1.2644935462699627,0.004306443281475003,0.0034056664774432944,,,
cfg_04fa10d06d49aa69,202608080,20,0.0,0.5,0.5,4,success,0.9224298306803695,0.9302325581395349,0.007802727459165326,0.008387932018602726,,,
cfg_04fa10d06d49aa69,202608081,20,0.0,0.5,0.5,4,success,0.9221761601697883,0.9302325581395349,0.008056397969746554,0.008660627817477545,,,
cfg_04fa10d06d49aa69,202608082,20,0.0,0.5,0.5,4,success,0.9256994432579114,0.9302325581395349,0.004533114881623446,0.004873098497745204,,,
cfg_04fa10d06d49aa69,202608083,20,0.0,0.5,0.5,4,success,0.9326095388334198,0.9302325581395349,0.0023769806938849225,0.0025552542459262918,,,
cfg_04fa10d06d49aa69,202608084,20,0.0,0.5,0.5,4,success,0.9262309649423043,0.9302325581395349,0.004001593197230591,0.004301712687022885,,,
cfg_0597ee6b87f519be,202608080,20,-0.8,0.5,1.0,4,success,1.0,1.0,0.0,0.0,,,
cfg_0597ee6b87f519be,202608081,20,-0.8,0.5,1.0,4,success,1.0,1.0,0.0,0.0,,,
cfg_0597ee6b87f519be,202608082,20,-0.8,0.5,1.0,4,success,1.0,1.0,0.0,0.0,,,
cfg_0597ee6b87f519be,202608083,20,-0.8,0.5,1.0,4,success,1.0,1.0,0.0,0.0,,,
cfg_0597ee6b87f519be,202608084,20,-0.8,0.5,1.0,4,success,1.0,1.0,0.0,0.0,,,
cfg_05a63c547de18d3e,202608080,2,0.8,0.5,0.25,4,success,1.824639721637087,1.8320126782884316,0.00737295665134452,0.00402451180536193,,,
cfg_05a63c547de18d3e,202608081,2,0.8,0.5,0.25,4,success,1.8017829696187848,1.8320126782884316,0.030229708669646804,0.016500818486632464,,,
cfg_05a63c547de18d3e,202608082,2,0.8,0.5,0.25,4,success,1.8384285494592418,1.8320126782884316,0.006415871170810217,0.003502088848426683,,,
cfg_05a63c547de18d3e,202608083,2,0.8,0.5,0.25,4,success,1.8392166309240845,1.8320126782884316,0.007203952635652877,0.003932261343509484,,,
cfg_05a63c547de18d3e,202608084,2,0.8,0.5,0.25,4,success,1.8450769831519092,1.8320126782884316,0.013064304863477538,0.0071311214263445714,,,
cfg_05c35b973a5f5d87,202608080,5,0.8,0.1,0.5,4,success,2.6438276388793205,2.68389662027833,0.040068981399009385,0.014929405662001275,,,
cfg_05c35b973a5f5d87,202608081,5,0.8,0.1,0.5,4,success,2.5184472830641043,2.68389662027833,0.1654493372142256,0.061645197495374435,,,
cfg_05c35b973a5f5d87,202608082,5,0.8,0.1,0.5,4,success,2.712613086755332,2.68389662027833,0.0287164664770021,0.010699542694764487,,,
cfg_05c35b973a5f5d87,202608083,5,0.8,0.1,0.5,4,success,2.6682291260354196,2.68389662027833,0.01566749424291025,0.005837592299395449,,,
cfg_05c35b973a5f5d87,202608084,5,0.8,0.1,0.5,4,success,2.7109161568788265,2.68389662027833,0.027019536600496608,0.010067279192629477,,,
cfg_05f116fa64906757,202608080,5,-0.4,0.5,0.75,4,success,0.7166600246438694,0.7281344248168894,0.011474400173020038,0.015758628876674265,,,
cfg_05f116fa64906757,202608081,5,-0.4,0.5,0.75,4,success,0.7318608875458843,0.7281344248168894,0.003726462728994906,0.0051178224816551335,,,
cfg_05f116fa64906757,202608082,5,-0.4,0.5,0.75,4,success,0.7227350783178552,0.7281344248168894,0.005399346499034174,0.007415315517312613,,,
cfg_05f116fa64906757,202608083,5,-0.4,0.5,0.75,4,success,0.7220217488295716,0.7281344248168894,0.006112675987317795,0.008394982820452425,,,
cfg_05f116fa64906757,202608084,5,-0.4,0.5,0.75,4,success,0.7226400030917481,0.7281344248168894,0.005494421725141252,0.007545889245001682,,,
cfg_060aaee5416a7356,202608080,5,0.8,0.1,0.0,4,success,3.033624245922072,3.0888030888030893,0.055178842881017154,0.017864150382729302,3.2000000000000006,0.11119691119691133,0.11119691119691133
cfg_060aaee5416a7356,202608081,5,0.8,0.1,0.0,4,success,3.6330152148419796,3.0888030888030893,0.5442121260388904,0.17618867580509073,3.2000000000000006,0.11119691119691133,0.11119691119691133
cfg_060aaee5416a7356,202608082,5,0.8,0.1,0.0,4,success,3.0222974791475665,3.0888030888030893,0.06650560965552277,0.021531191125975492,3.2000000000000006,0.11119691119691133,0.11119691119691133
cfg_060aaee5416a7356,202608083,5,0.8,0.1,0.0,4,success,3.2461448487710602,3.0888030888030893,0.15734175996797095,0.05093939478963059,3.2000000000000006,0.11119691119691133,0.11119691119691133
cfg_060aaee5416a7356,202608084,5,0.8,0.1,0.0,4,success,3.2360401494518576,3.0888030888030893,0.1472370606487683,0.047667998385038726,3.2000000000000006,0.11119691119691133,0.11119691119691133
cfg_06532b24741c0d2e,202608080,10,0.0,4.0,0.0,4,success,9.469790073061621e-05,0.0,9.469790073061621e-05,,0.0,0.0,0.0
cfg_06532b24741c0d2e,202608081,10,0.0,4.0,0.0,4,success,0.00011462083985420312,0.0,0.00011462083985420312,,0.0,0.0,0.0
cfg_06532b24741c0d2e,202608082,10,0.0,4.0,0.0,4,success,0.00019222093866794892,0.0,0.00019222093866794892,,0.0,0.0,0.0
cfg_06532b24741c0d2e,202608083,10,0.0,4.0,0.0,4,success,8.963902418564436e-05,0.0,8.963902418564436e-05,,0.0,0.0,0.0
cfg_06532b24741c0d2e,202608084,10,0.0,4.0,0.0,4,success,0.00027925791414354,0.0,0.00027925791414354,,0.0,0.0,0.0
cfg_071ef595e8280e2f,202608080,5,0.4,1.0,0.75,4,success,1.2369600639913203,1.2339880444064901,0.0029720195848301767,0.002408467082239541,,,
cfg_071ef595e8280e2f,202608081,5,0.4,1.0,0.75,4,success,1.2281013224310684,1.2339880444064901,0.005886721975421727,0.004770485420912694,,,
cfg_071ef595e8280e2f,202608082,5,0.4,1.0,0.75,4,success,1.2338589314624746,1.2339880444064901,0.0001291129440155192,0.00010463062798766298,,,
cfg_071ef595e8280e2f,202608083,5,0.4,1.0,0.75,4,success,1.2255302316310552,1.2339880444064901,0.008457812775434892,0.006854047584798795,,,
cfg_071ef595e8280e2f,202608084,5,0.4,1.0,0.75,4,success,1.2260847113633047,1.2339880444064901,0.007903333043185468,0.006404707954027808,,,
cfg_0989736143b007c6,202608080,2,-0.4,0.1,0.0,4,success,0.37935302228017037,0.29520295202952035,0.08415007025065002,0.2850583629740769,0.32000000000000006,0.024797047970479713,0.024797047970479713
cfg_0989736143b007c6,202608081,2,-0.4,0.1,0.0,4,success,0.25456966680174886,0.29520295202952035,0.04063328522777149,0.13764525370907588,0.32000000000000006,0.024797047970479713,0.024797047970479713
cfg_0989736143b007c6,202608082,2,-0.4,0.1,0.0,4,success,0.3671878232887959,0.29520295202952035,0.07198487125927555,0.2438487513907959,0.32000000000000006,0.024797047970479713,0.024797047970479713
cfg_0989736143b007c6,202608083,2,-0.4,0.1,0.0,4,success,0.2701507479606924,0.29520295202952035,0.025052204068827966,0.08486434128315472,0.32000000000000006,0.024797047970479713,0.024797047970479713
cfg_0989736143b007c6,202608084,2,-0.4,0.1,0.0,4,success,0.2833396217530326,0.29520295202952035,0.011863330276487727,0.040187031311602166,0.32000000000000006,0.024797047970479713,0.024797047970479713
cfg_09e7acc2db59d2c4,202608080,20,0.8,4.0,0.5,4,success,2.9185120907271744,2.8877005347593583,0.03081155596781615,0.010669927714780779,,,
cfg_09e7acc2db59d2c4,202608081,20,0.8,4.0,0.5,4,success,2.8551898411740364,2.8877005347593583,0.03251069358532188,0.011258332778620726,,,
cfg_09e7acc2db59d2c4,202608082,20,0.8,4.0,0.5,4,success,2.875122162030671,2.8877005347593583,0.012578372728687448,0.004355843889378801,,,
cfg_09e7acc2db59d2c4,202608083,20,0.8,4.0,0.5,4,success,2.8933232097170776,2.8877005347593583,0.005622674957719287,0.0019471115131361235,,,
cfg_09e7acc2db59d2c4,202608084,20,0.8,4.0,0.5,4,success,2.899369708175419,2.8877005347593583,0.011669173416060552,0.004040991534820969,,,
cfg_09eb33fb175d49c3,202608080,5,0.0,0.1,0.5,4,success,0.8266243318056123,0.819672131147541,0.006952200658071339,0.008481684802847033,,,
cfg_09eb33fb175d49c3,202608081,5,0.0,0.1,0.5,4,success,0.8270037277285949,0.819672131147541,0.0073315965810538675,0.008944547828885718,,,
cfg_09eb33fb175d49c3,202608082,5,0.0,0.1,0.5,4,success,0.8499618526891731,0.819672131147541,0.03028972154163212,0.03695346028079118,,,
cfg_09eb33fb175d49c3,202608083,5,0.0,0.1,0.5,4,success,0.8064723487888424,0.819672131147541,0.013199782358698564,0.016103734477612246,,,
